순번,생산라인코드,생산일자,작업장코드,충전실온도,실링온도,쿠킹온도,쿠킹스팀압력,실링압력,생산시간,오류발생작업장명,Error_Message,발생시간,종료시간,오류조치시간_보정,비가동코드,오류발생여부,Error_label,Error_name,Error_class,name
4,D004,2011-08-10,W005,70.72817716,109.3281772,144.1135772,23.19,202.511,,충전실,센서,20:46,20:55,9.0,W005811,1,52,센서,2,2:공정 중 발생
8,C006,2011-08-11,W003,70.56938477,104.8693848,139.3624848,22.995,203.889,,쿠킹실,오리히로,3:15,4:00,45.0,W0036B8,1,71,오리히로,2,2:공정 중 발생
2,C010,2011-08-12,W003,71.50983116,104.8098312,139.5073312,23.132,197.986,,쿠킹실,규격보정,9:53,10:26,33.0,W003441,1,20,규격보정,2,2:공정 중 발생
7,D001,2011-08-12,W005,70.73997799,111.639978,146.408678,23.179,204.565,,충전실,센서,16:08,16:38,30.0,W005811,1,52,센서,2,2:공정 중 발생
10,D004,2011-08-12,W005,70.52819878,87.62819878,122.0884988,22.974,198.723,,충전실,센서,21:20,21:40,20.0,W005811,1,52,센서,2,2:공정 중 발생
8,C001,2011-08-17,W003,72.29830919,109.1983092,143.3971092,22.799,197.451,,쿠킹실,규격보정,17:18,17:26,8.0,W003441,1,20,규격보정,2,2:공정 중 발생
17,D004,2011-08-17,W005,73.2611461,94.5611461,129.2246461,23.109,198.745,,충전실,센서,4:26,4:31,5.0,W005811,1,52,센서,2,2:공정 중 발생
5,D006,2011-08-18,W005,71.22904332,93.52904332,128.1508433,23.081,202.594,,충전실,센서,14:00,14:30,30.0,W005811,1,52,센서,2,2:공정 중 발생
10,D004,2011-08-18,W005,71.31310424,104.4131042,138.9599542,23.031,200.132,,충전실,센서,1:54,2:08,14.0,W005811,1,52,센서,2,2:공정 중 발생
13,D004,2011-08-19,W005,70.64019899,102.440199,137.078149,23.092,207.38,,충전실,센서,4:12,4:43,31.0,W005811,1,52,센서,2,2:공정 중 발생
4,D011,2011-08-23,W005,72.54189168,90.24189168,124.5792417,22.892,194.949,,충전실,기타,21:04,21:26,22.0,W005A11,1,23,기타,3,3:기타
4,D005,2011-08-24,W005,70.15259672,87.75259672,122.5353967,23.189,204.09,,충전실,관리팀미입고(생산지연),13:30,14:11,41.0,W005315,1,15,관리팀미입고(생산지연),1,1:공정 전 발생
9,D004,2011-08-25,W005,71.91662791,95.81662791,130.3807279,23.043,201.95,,충전실,센서,9:35,9:38,3.0,W005811,1,52,센서,2,2:공정 중 발생
1,C004,2011-08-29,W003,73.55062821,74.85062821,109.5382782,23.125,198.773,,쿠킹실,"관리팀미입고(생산미지연,순서변경)",8:19,8:57,38.0,W003316,1,14,"관리팀미입고(생산미지연,순서변경)",1,1:공정 전 발생
1,D002,2011-08-31,W005,70.49727877,96.99727877,131.5372788,23.027,202.937,,충전실,센서,17:30,18:10,40.0,W0056B3,1,52,센서,2,2:공정 중 발생
5,D003,2011-09-01,W005,71.62256383,112.0225638,146.3974138,22.917,201.159,,충전실,조회,12:31,13:05,34.0,W005212,1,92,조회,3,3:기타
8,C001,2011-09-06,W003,70.79978751,119.2997875,153.6920875,22.928,202.358,,쿠킹실,규격보정,17:12,17:32,20.0,W003441,1,20,규격보정,2,2:공정 중 발생
6,D006,2011-09-08,W005,71.46071327,114.1607133,148.6449133,22.989,204.428,,충전실,센서,14:04,14:22,18.0,W005811,1,52,센서,2,2:공정 중 발생
2,D004,2011-09-09,W005,71.43124523,102.3312452,137.1041452,23.182,201.355,,충전실,센서,9:38,11:27,109.0,W005811,1,52,센서,2,2:공정 중 발생
3,C010,2011-09-09,W003,72.07156707,108.3715671,142.7506671,22.919,195.596,,쿠킹실,밸브,11:31,12:04,33.0,W0036A1,1,39,밸브,2,2:공정 중 발생
5,C008,2011-09-16,W003,69.86779893,94.26779893,128.7164489,22.966,201.776,,쿠킹실,업체미입고(생산지연),11:06,13:58,172.0,W003315,1,67,업체미입고(생산지연),1,1:공정 전 발생
3,C007,2011-09-20,W003,71.43233889,103.3323389,137.8103389,22.985,205.038,,쿠킹실,충전,9:24,9:45,21.0,W003452,1,96,충전,2,2:공정 중 발생
5,D004,2011-09-21,W005,71.9773345,97.2773345,131.7322345,22.97,204.371,,충전실,센서,8:02,8:06,4.0,W005811,1,52,센서,2,2:공정 중 발생
1,C003,2011-09-22,W003,71.90362464,118.3036246,153.0161746,23.142,205.106,,쿠킹실,시생산 지연,8:50,9:18,28.0,W003471,1,57,시생산 지연,1,1:공정 전 발생
4,D008,2011-09-27,W005,70.08394257,88.38394257,122.9323926,23.032,197.679,,충전실,기타,12:20,13:16,56.0,W005673,1,23,기타,3,3:기타
6,D002,2011-09-27,W005,72.70473954,123.8047395,158.3514895,23.031,204.95,,충전실,대기,14:22,16:22,120.0,W005711,1,29,대기,1,1:공정 전 발생
10,D005,2011-09-27,W005,69.53859798,79.33859798,113.761498,22.949,201.886,,충전실,제품 넘침 청소,19:25,19:46,21.0,W005431,1,91,제품 넘침 청소,2,2:공정 중 발생
5,P004,2011-10-31,W007,68.92882935,79.42882935,113.7553294,22.884,202.477,,포장실,설비,21:00,21:05,5.0,W007911,1,50,설비,2,2:공정 중 발생
10,P004,2011-10-31,W007,70.08384866,81.18384866,115.7422487,23.039,207.66,,포장실,분사노즐,21:35,21:40,5.0,W0076C2,1,46,분사노즐,2,2:공정 중 발생
5,C007,2011-11-07,W003,69.86372415,82.26372415,117.0519242,23.192,203.531,,쿠킹실,시생산 지연,13:51,14:29,38.0,W003471,1,57,시생산 지연,1,1:공정 전 발생
